編號,行政區,轄區分隊,巷道地點,寬度,長度
60,板橋區,大觀分隊,大觀路二段148巷,2.4,260
61,板橋區,大觀分隊,大觀路二段156巷,3,260
62,板橋區,大觀分隊,大觀路二段169巷,4,160
63,板橋區,大觀分隊,大觀路二段179巷,2,160
64,板橋區,大觀分隊,大觀路二段265巷18弄,3,180
65,板橋區,大觀分隊,中正路25巷,2,140
66,板橋區,大觀分隊,中正路89巷,2,110
67,板橋區,大觀分隊,光華街,3,230
68,板橋區,大觀分隊,光華街13巷,3.5,170
69,板橋區,大觀分隊,光華街15巷,3.5,170
70,板橋區,大觀分隊,光華街19巷,3,170
71,板橋區,大觀分隊,林園街,1.7,180
72,板橋區,大觀分隊,南雅西路二段38巷,3,100
73,板橋區,大觀分隊,南雅西路二段110巷,2.5,290
74,板橋區,大觀分隊,南雅西路二段156巷,2.4,140
75,板橋區,大觀分隊,南雅西路二段168巷,2.5,100
76,板橋區,大觀分隊,南雅西路二段192巷,2.4,130
77,板橋區,大觀分隊,僑中一街124巷15弄,3.5,260
78,板橋區,大觀分隊,僑中一街124巷18弄,3.5,220
79,板橋區,大觀分隊,僑中一街124巷20弄,3.5,200
80,板橋區,大觀分隊,僑中二街48巷,3,190
81,板橋區,大觀分隊,僑中二街112巷,4,170
82,板橋區,大觀分隊,僑中二街116巷,4,260
83,板橋區,大觀分隊,僑中二街120巷,3,150
84,板橋區,大觀分隊,僑中二街124巷,2.5,130
85,板橋區,溪崑分隊,大觀路三段59巷,4.5,110
86,板橋區,溪崑分隊,溪崑一街30巷15弄,3,120
87,板橋區,溪崑分隊,溪崑一街48巷,4,110
88,板橋區,溪崑分隊,溪崑二街16巷,4,140
89,板橋區,溪崑分隊,溪崑二街92巷,2.5,120
90,板橋區,溪崑分隊,大觀路三段180巷,2.5,150
91,板橋區,溪崑分隊,大觀路三段212巷,4,120
92,板橋區,溪崑分隊,篤行路二段57巷,2.5,115
93,板橋區,溪崑分隊,篤行路二段141巷,3,120
94,板橋區,溪崑分隊,篤行路二段151巷,3,120
95,板橋區,溪崑分隊,篤行路二段161巷,3,120
96,板橋區,溪崑分隊,金門街215巷2弄,3,130
97,板橋區,溪崑分隊,金門街215巷57弄,2.5,160
98,板橋區,溪崑分隊,金門街369巷57弄,3,130
99,板橋區,溪崑分隊,金門街372巷,3,140
100,板橋區,溪崑分隊,大觀路三段160巷,3,160
101,板橋區,新板分隊,民權路202巷17弄,3,200
102,板橋區,新板分隊,光正街23巷,3,250
103,板橋區,新板分隊,光正街45巷,3,160
104,板橋區,新板分隊,長安街7巷,3,110
105,板橋區,新板分隊,茶館街,2.8,120
106,板橋區,新板分隊,後菜園街,2.8,250
107,板橋區,新板分隊,中山路一段50巷,,
108,板橋區,新板分隊,文化路一段45巷,,
109,板橋區,新板分隊,文化路一段81巷,,
110,板橋區,新板分隊,光正街,,
111,板橋區,新板分隊,民族路69巷18弄,,
112,板橋區,新板分隊,民權路202巷(含7、9、13弄),,
113,板橋區,新板分隊,民權路260巷,,
114,板橋區,新板分隊,民權路302巷,,
115,板橋區,新板分隊,東門街,,
116,板橋區,新板分隊,長安街25巷,,
117,板橋區,新板分隊,重慶路12巷,,
118,板橋區,新板分隊,重慶路13巷,,
119,板橋區,新板分隊,南門街1巷,,
120,板橋區,新板分隊,宮口街,,
121,板橋區,莒光分隊,三民路一段3巷,3.9,132
122,板橋區,莒光分隊,三民路一段5巷,3.8,104
123,板橋區,莒光分隊,中山路二段250巷,3.9,95
124,板橋區,莒光分隊,文化路二段263巷,3.5,187
125,板橋區,莒光分隊,民治街44巷,2.4,90
126,板橋區,莒光分隊,民治街57巷(含15、24弄),3.5-4.1,103
127,板橋區,莒光分隊,民治街71巷1弄,2.4,64
128,板橋區,莒光分隊,光復街33巷,2,137
129,板橋區,莒光分隊,成功路6巷,1.8,189
130,板橋區,莒光分隊,莊敬路125巷(含1弄),2.3-4.4,113
131,板橋區,莒光分隊,莊敬路129巷,4.5,238
132,板橋區,莒光分隊,雙十路二段33巷,3.2,170
133,板橋區,莒光分隊,雙十路二段41巷,3.5,95
134,板橋區,莒光分隊,三民路二段21巷,3.7,237
135,板橋區,莒光分隊,三民路二段29巷35弄,4.1,235
136,板橋區,莒光分隊,三民路二段70巷,3.9,88
137,板橋區,莒光分隊,三民路二段81巷(含27弄),1.9-3.1,355
138,板橋區,莒光分隊,三民路二段95巷,3.1,191
139,板橋區,莒光分隊,三民路二段109巷,3.9,193
140,板橋區,莒光分隊,三民路二段123巷,3.9,201
141,板橋區,莒光分隊,三民路二段153巷,4.1,201
142,板橋區,莒光分隊,三民路二段181巷,4.1,128
143,板橋區,莒光分隊,三民路二段186巷(含2弄、6弄、20弄、28弄),2.3-4.1,66
144,板橋區,莒光分隊,三民路二段居仁巷2弄,2.7,103
145,板橋區,莒光分隊,中山路二段89巷7弄,2.8,115
146,板橋區,莒光分隊,中山路二段90巷43弄,4.1,128
147,板橋區,莒光分隊,中山路二段148巷7弄,2.4,101
148,板橋區,莒光分隊,中山路二段212巷,2.7,220
149,板橋區,莒光分隊,中山路二段295巷,1.7-3.2,132
150,板橋區,莒光分隊,中山路二段318巷(含20、27弄、30弄),3.2,132
151,板橋區,莒光分隊,中山路二段416巷(含3弄、32弄、47弄、48弄、54弄、66弄),2.8-4,200
152,板橋區,莒光分隊,中山路二段531巷,4.1,264
153,板橋區,莒光分隊,中山路二段光榮巷30弄,2.8,103
154,板橋區,莒光分隊,文化路二段182巷5弄,3.8,163
155,板橋區,莒光分隊,文化路二段225巷60弄,4.1,190
156,板橋區,莒光分隊,文化路二段225巷72弄,3.1,136
157,板橋區,莒光分隊,文化路二段410巷,4.1,203
158,板橋區,莒光分隊,文化路二段548巷,4.1,205
159,板橋區,莒光分隊,民生路二段226巷6弄、8弄、10弄、17弄,3.2-4.1,176
160,板橋區,莒光分隊,民生路二段232巷,3.9,100
161,板橋區,莒光分隊,民生路二段234巷,4.1,164
162,板橋區,莒光分隊,民生路二段240巷,3.7,174
163,板橋區,莒光分隊,民享街65巷、116巷、116巷1弄、116巷2弄、137巷、142巷、158巷(興隆市場),2.2-4.1,152
164,板橋區,莒光分隊,民治街52巷,4.1,120
165,板橋區,莒光分隊,民治街96巷,3.8,130
166,板橋區,莒光分隊,民治街126巷,3.4,123
167,板橋區,莒光分隊,民治街133巷,3,94
168,板橋區,莒光分隊,民治街134巷,3.7,105
169,板橋區,莒光分隊,永豐街49巷,4.1,183
170,板橋區,莒光分隊,永豐街55巷,4.1,225
171,板橋區,莒光分隊,永豐街75巷,4.1,144
172,板橋區,莒光分隊,永豐街120巷(含2弄),3.9,124
173,板橋區,莒光分隊,田單街2巷,2.5-3.9,163
174,板橋區,莒光分隊,田單街49巷7弄,2.5-3.9,141
175,板橋區,莒光分隊,江寧路三段55巷7弄,3.3,50
176,板橋區,莒光分隊,江寧路三段71巷,3.9,124
177,板橋區,莒光分隊,江寧路三段79巷,4.1,75
178,板橋區,莒光分隊,江寧路三段87巷2弄,3.4,162
179,板橋區,莒光分隊,江寧路三段123巷,3.3,60
180,板橋區,莒光分隊,吳鳳路21巷,3.9,132
181,板橋區,莒光分隊,宏國路77巷3弄,3.8,100
182,板橋區,莒光分隊,松柏街50巷90弄,2.8,253
183,板橋區,莒光分隊,林森街1巷、3巷、3巷1弄,2.3-3.1,112
184,板橋區,莒光分隊,長江路二段118巷,4.1,160
185,板橋區,莒光分隊,莊敬路146巷,3.9,101
186,板橋區,莒光分隊,莊敬路263巷,4.1,121
187,板橋區,莒光分隊,莒光路27巷,4.1,111
188,板橋區,莒光分隊,莒光路28巷,4,101
189,板橋區,莒光分隊,莒光路51巷,3.9,152
190,板橋區,莒光分隊,莒光路171巷(含1弄、3弄),3.9-4.1,222
191,板橋區,莒光分隊,莒光路196巷,2.8,161
192,板橋區,莒光分隊,富山街109巷(含60、63、65弄),2.1-3.8,302
193,板橋區,莒光分隊,萬安街20巷(含2、4、6、8、10弄),1.9-4.1,145
194,板橋區,莒光分隊,翠華街4巷,4,81
195,板橋區,莒光分隊,翠華街8巷,4.1,103
196,板橋區,莒光分隊,翠華街10巷,4,102
197,板橋區,莒光分隊,翠華街12巷,4,170
198,板橋區,莒光分隊,翠華街6巷(含1弄、4弄),1.7-4.1,230
199,板橋區,莒光分隊,銘傳街76巷,2.8,102
200,板橋區,莒光分隊,縣民大道三段187巷,4,102
201,板橋區,莒光分隊,縣民大道三段205巷,3.5,100
202,板橋區,莒光分隊,縣民大道三段247巷,3.8,140
203,板橋區,莒光分隊,雙十路二段2巷,2.8,110
204,板橋區,莒光分隊,雙十路二段47巷6弄,3.9,101
205,板橋區,莒光分隊,雙十路二段69巷,2.3,225
206,板橋區,莒光分隊,雙十路三段66巷,4.1,57
207,板橋區,莒光分隊,懷仁街14巷,4.1,117
208,板橋區,莒光分隊,懷仁街24巷,4.1,89
209,板橋區,莒光分隊,懷仁街34巷,4.1,110
210,板橋區,莒光分隊,懷仁街35巷,4.1,221
211,板橋區,莒光分隊,懷仁街77巷,4.1,121
212,板橋區,莒光分隊,懷德街127巷23弄,3.8,119
213,新莊區,新莊分隊,中正路263巷(含10弄),1.4-3.6,155
214,新莊區,新莊分隊,中港路48巷(含23弄),1.9-4.65,153
215,新莊區,新莊分隊,中港路161巷,2.2,110
216,新莊區,新莊分隊,中港路221巷(含1、3弄),2.9,120
217,新莊區,新莊分隊,中港路339巷,3.4-3.9,230
218,新莊區,新莊分隊,中港路653巷,2.3,90
219,新莊區,新莊分隊,中華路二段3巷,2.78,150
220,新莊區,新莊分隊,中華路一段166巷,2.83,135
221,新莊區,新莊分隊,公園路202巷與永寧街間道路,2.5-4,200
222,新莊區,新莊分隊,永寧街(含1、19、24、26巷),3.4,272
223,新莊區,新莊分隊,幸福路64巷(含1弄),2.7-3.3,100
224,新莊區,新莊分隊,幸福路528巷(含3、4弄),3.2-3.6,110
225,新莊區,新莊分隊,幸福路715巷,3.1-3.3,111
226,新莊區,新莊分隊,昌平街31巷與昌平街59巷間道路,3.5,120
227,新莊區,新莊分隊,建中街116巷(新泰公園旁),3.35,110
228,新莊區,新莊分隊,泰順街,2.6-3.8,154
229,新莊區,新莊分隊,復興路二段60巷(含2、8弄),3.4,186
230,新莊區,新莊分隊,新央街,3.5,123
231,新莊區,新莊分隊,新泰路150巷(含8弄),1.8-3.9,190
232,新莊區,新莊分隊,新泰路347巷(含5、6弄),1.9-4,200
233,新莊區,新莊分隊,新莊路150巷,2.7-4.1,120
234,新莊區,新莊分隊,新莊路313巷,2.1-3.45,74
235,新莊區,新莊分隊,新莊路477巷,0.9~1.7,130
236,新莊區,新莊分隊,新莊路493巷(含4弄),1.73-2.57,140
237,新莊區,新莊分隊,新莊路565巷(含6、8弄),1.73-1.94,180
238,新莊區,新莊分隊,新莊路751巷1～49號,3.3,115
239,新莊區,新莊分隊,新興街(含21、27、31、37、36、38、48、62、66、76、94、102、108、114巷),1.63-3.53,900
240,新莊區,新莊分隊,豐年街51巷,2.6,140
241,新莊區,新莊分隊,豐年街90巷,3,140
242,新莊區,新莊分隊,瓊林路40巷,4,142
243,新莊區,新莊分隊,瓊林路42巷,2.75,110
244,新莊區,新莊分隊,瓊泰路80巷,3.6,108
245,新莊區,福營分隊,福營路25巷,3.1~4,95
246,新莊區,福營分隊,福營路97巷,2.5~5.8,230
247,新莊區,福營分隊,瓊林北路,2.7~4.1,200
248,新莊區,裕民分隊,後港二路,2.5~6,200
249,新莊區,頭前分隊,新莊區化成路36巷,寬度：2.0-5.0,長度：112
250,新莊區,頭前分隊,新莊區化成路63巷24弄,寬度：2.4-4.0,長度：150
251,新莊區,頭前分隊,新莊區化成路63巷26弄,寬度：2.8-4.3,長度：170
252,新莊區,頭前分隊,新莊區化成路205巷,寬度：2.5-3.6,長度：130
253,新莊區,頭前分隊,新莊區化成路332巷,寬度：1.5-3.9,長度：95
254,新莊區,頭前分隊,新莊區化成路352巷,寬度：2.2-3.8,長度：100
255,新莊區,頭前分隊,新莊區化成路398巷,寬度：3.0-7.0,長度：125
256,新莊區,頭前分隊,新莊區化成路438巷,寬度：2.5-5.0,長度：130
257,新莊區,頭前分隊,新莊區化成路492巷,寬度：3.3-9.5,長度：120
258,新莊區,頭前分隊,新莊區中正路56巷,寬度：2.7-5.0,長度：180
259,新莊區,頭前分隊,頭前路22巷,寬度：3.2-3.8,長度：110
260,新莊區,頭前分隊,新莊區頭前路58巷,寬度：1.6-3.8,長度：100
261,泰山區,泰山分隊,民權街3巷,3.8-4.7,132
262,泰山區,泰山分隊,明志路一段256巷,2.7-4,120
263,泰山區,泰山分隊,明志路一段352巷,3.8,160
264,泰山區,泰山分隊,泰山區明志路一段483巷,寬度：3.8米,長度：71米
265,泰山區,泰山分隊,泰山區泰林路二段164巷,寬度：2.3-6米,長度：60米
266,泰山區,泰山分隊,明志路二段214巷18弄,3.7-3.9,140
267,泰山區,泰山分隊,明志路三段196巷(含7、10、21、23、31、42、50弄),1.8-4,300
268,泰山區,泰山分隊,泰山區文化街(明志路一段至明志路一段117巷之間),寬度：3.8-5.1米,長度：100米
269,泰山區,泰山分隊,泰山區福泰街62巷,寬度：3.2米,長度：80米
270,泰山區,泰山分隊,信義街,3.8,117
271,泰山區,泰山分隊,福德街,3.8-4.1,210
272,泰山區,泰山分隊,應化街6巷,3.4,102
273,五股區,五股分隊,民義路一段172巷,2.8~3.8,150
274,五股區,五股分隊,成泰路二段147巷,2.8~3.8,150
275,五股區,五股分隊,成泰路三段577巷80弄,2.7-6,109
276,五股區,五股分隊,登林路86號旁道路,,110
277,三重區,三重分隊,文化南路25巷,0.8,100
278,三重區,三重分隊,文化南路47巷,2,100
279,三重區,三重分隊,龍濱路9巷,2,50
280,三重區,三重分隊,龍濱路17巷,2,100
281,三重區,三重分隊,龍濱路35巷,2,100
282,三重區,三重分隊,龍濱路43巷,2,100
283,三重區,三重分隊,三和路四段181巷,4,600
284,三重區,三重分隊,三和路四段191巷,1.8,200
285,三重區,三重分隊,三和路四段203巷,2.3,600
286,三重區,三重分隊,仁愛街55巷,3,450
287,三重區,三重分隊,溪尾街230巷,2,200
288,三重區,三重分隊,正義北路244巷,2.5,120
289,三重區,三重分隊,正義北路256巷,3,150
290,三重區,三重分隊,介壽路39巷,1,300
291,三重區,三重分隊,長壽街120巷,1.5,240
292,三重區,三重分隊,五華街63巷,2.5,160
293,三重區,三重分隊,五華街71巷,3,310
294,三重區,三重分隊,錦通街,2,100
295,三重區,三重分隊,文化北路224巷,2,100
296,三重區,三重分隊,文化北路26巷,1,100
297,三重區,三重分隊,三和路三段101巷,2,200
298,三重區,二重分隊,五谷王南街46巷,1~4.1不等,250
299,三重區,二重分隊,五谷王北街80巷,3.7,180
300,三重區,二重分隊,頂崁街217巷,2.5~3.7不等,180
301,三重區,二重分隊,頂崁街192巷（含3弄）,2.6,140
302,三重區,二重分隊,忠孝路三段7巷,3.3,140
303,三重區,二重分隊,永福街46巷15弄及58巷1弄,2.7~3.0,160
304,三重區,二重分隊,永福街98巷,3,150
305,三重區,二重分隊,永安北路一段3巷,2.6,130
306,三重區,二重分隊,永安北路一段11巷,2.6~3.9不等,120
307,三重區,二重分隊,三和路四段396巷1弄,3.6,220
308,三重區,二重分隊,三和路四段400巷,3.0,160
309,三重區,二重分隊,永安北路一段27巷,2.5,140
310,三重區,二重分隊,永福街138巷,3.3,140
311,三重區,二重分隊,力行路二段136巷,3~4不等,350
312,三重區,二重分隊,永安北路一段33巷,2.5,140
313,三重區,二重分隊,永安北路一段21巷,2,150
314,三重區,二重分隊,永安北路一段37巷,3.3,120
315,三重區,重陽分隊,大同北路44巷,,
316,三重區,重陽分隊,大同北路34巷54弄,,
317,三重區,重陽分隊,大同南路161巷,,
318,三重區,重陽分隊,中正南路36巷,,
319,三重區,重陽分隊,中正南路52巷11弄,,
320,三重區,重陽分隊,仁化街31巷8弄,,
321,三重區,重陽分隊,仁化街31巷22弄,,
322,三重區,重陽分隊,六張街194巷2弄,,
323,三重區,重陽分隊,忠孝路一段30巷,,
324,蘆洲區,鷺江分隊,永平街32巷11弄,3.2~4.4,153.2
325,蘆洲區,鷺江分隊,永平街32巷33弄,3.4,152.0
326,蘆洲區,鷺江分隊,永樂街38巷19弄,3.5-3.8,187.4
327,蘆洲區,鷺江分隊,永樂街38巷45弄,3.2-3.8,157.2
328,蘆洲區,鷺江分隊,永樂街38巷67弄,3.3-4.3,168.2
329,蘆洲區,鷺江分隊,中正路185巷13弄,3.5,86
330,蘆洲區,鷺江分隊,中正路185巷31弄,3.5-4.6,143.6
331,蘆洲區,鷺江分隊,長安街98巷,3.5-5.2,121.2
332,蘆洲區,鷺江分隊,長安街331巷,3.6,142.2
333,蘆洲區,鷺江分隊,長安街361巷,3.3-3.6,142.2
334,蘆洲區,鷺江分隊,民權路72巷,2.8-3.6,162.7
335,蘆洲區,鷺江分隊,民權路82巷,3.3-4.6,108.6
336,蘆洲區,鷺江分隊,民權路121巷,2.8-4.2,長度約142.4
337,蘆洲區,鷺江分隊,民族路336巷,1.6-5.6,235.2
338,蘆洲區,鷺江分隊,民族路422巷,3.3-4.2,284.0
339,蘆洲區,鷺江分隊,民義街86巷,3.1-5.6,121.7
340,蘆洲區,鷺江分隊,復興路227巷2弄,3.0-3.4,181.9
341,蘆洲區,鷺江分隊,仁愛街161巷,3.8-5.6,113.9
342,蘆洲區,鷺江分隊,仁愛街212巷,3.6-7.4,198.1
343,盧洲區,蘆洲分隊,中山一路135巷6弄,,
344,盧洲區,蘆洲分隊,光華路65巷,,
345,盧洲區,蘆洲分隊,中山二路265巷,,
346,盧洲區,蘆洲分隊,中山二路137巷,,
347,盧洲區,蘆洲分隊,和平路121巷8弄,,
348,盧洲區,蘆洲分隊,民族路33巷,,
349,盧洲區,蘆洲分隊,中山一路122巷,,
350,盧洲區,蘆洲分隊,信義路157巷,,
351,八里區,八里分隊,中山路二段323巷,,
352,八里區,八里分隊,華峰一街,,
353,八里區,八里分隊,華峰三街,,
354,八里區,龍源分隊,中山路一段83巷,,
355,八里區,八里分隊,中山路一段157巷,,
356,八里區,八里分隊,中山路二段500巷,,
357,八里區,八里分隊,中山路二段540巷,,
358,八里區,八里分隊,挖子尾街,,
359,八里區,龍源分隊,龍形一街12巷5弄,3.5,65
360,八里區,龍源分隊,龍米路一段100巷,3.5~4,80
361,八里區,龍源分隊,龍米路二段206巷,2.3~4,200
362,八里區,龍源分隊,龍米路二段232巷,2.6~4.8,100
363,八里區,龍源分隊,龍米路三段17巷,2.3~3.2,250
364,淡水區,淡水分隊,大忠街34巷,3.1-4.5不等,140
365,淡水區,淡水分隊,真理街3巷,1.5~2.3不等,300
366,淡水區,淡水分隊,新生街90巷,3.1~4.2不等,105
367,淡水區,淡水分隊,鄧公路31巷,2.8-4.2不等,170
368,淡水區,淡水分隊,鄧公路33巷,3.9-5.8m不等,150
369,淡水區,淡水分隊,鄧公路35巷,2.8~5.6不等,202
370,淡水區,淡水分隊,平遠街,3.1-3.6.m不等,110
371,淡水區,淡水分隊,學府路205巷,2.3-4.6不等,220
372,淡水區,淡水分隊,水源街二段177巷52弄,3.1~4.4不等,120
373,淡水區,淡水分隊,水源街一段47巷,2.3~3.5不等,210
374,淡水區,淡水分隊,水源街一段53巷,2.2~3.3不等,180
375,淡水區,淡水分隊,新民街162巷,2.5~3.2不等,202
376,淡水區,淡水分隊,新民街180巷,3.2~5.2不等,173
377,淡水區,淡水分隊,大仁街6巷,2.7~4.1不等,170
378,淡水區,淡水分隊,水源街二段74巷,2.8-3.5M不等,150
379,淡水區,淡水分隊,水源街二段92巷,3.7-4.7M不等,300
380,淡水區,淡水分隊,北新路182巷3弄,3.4-4不等,110
381,淡水區,淡水分隊,北新路182巷5弄,4-4.8不等,125
382,淡水區,淡水分隊,北新路182巷21弄,3-3.8不等,140
383,淡水區,淡水分隊,北新路182巷41弄,3.4-4.4不等,155
384,淡水區,淡水分隊,重建街96～200號,1.7~2.7不等,200
385,淡水區,淡水分隊,真理街1巷,3.7~4.7不等,140
386,淡水區,淡水分隊,真理街4巷,2.1~2.9不等,170
387,淡水區,淡水分隊,新生街80巷,3.7~4.5不等,140
388,淡水區,淡水分隊,學府路181巷,1.4~3.3不等,180
389,淡水區,淡水分隊,英專路21巷,2.8-4m不等,120M
390,淡水區,淡水分隊,英專路28巷2弄,3.1-4.2m不等,125M
391,淡水區,竹圍分隊,民生路52巷,3.8~5.0不等,200
392,淡水區,竹圍分隊,民生路113巷3弄,1.4~3.8不等,200
393,淡水區,竹圍分隊,民權路145巷,1.9~3.8不等,100
394,淡水區,竹圍分隊,民權路173巷,3.3~3.5不等,100
395,淡水區,竹圍分隊,民族路29巷,3.0~5.0不等,500
396,三芝區,三芝分隊,中山路一段88巷(智成街),5.7,115
397,三芝區,三芝分隊,中興街42巷,3.6,297.6
398,三芝區,三芝分隊,育英街24巷,3.4,110
399,石碇區,石碇分隊,石碇西街2號,寬度：3米,長度：170米
400,新店區,直潭分隊,秀山路45巷,寬度：3米,長度：100米
401,深坑區,深坑分隊,北深路一段112巷,寬度：6米,長度：300米
402,深坑區,深坑分隊,北深路一段83巷,寬度：6米,長度：100米
403,新店區,新店分隊,三民路35巷,寬度：2米,長度：150米
404,新店區,新店分隊,三民路75巷1弄,寬度：4米,長度：100米
405,新店區,新店分隊,中正路183巷,寬度：巷口約3.5,長度：70米
406,新店區,新店分隊,中正路312巷,寬度：5米，10及12號1.5米,長度：200米
407,新店區,新店分隊,中正路329巷,寬度：4米,長度：260米
408,新店區,新店分隊,中正路382巷,寬度：5米,長度：200米
409,新店區,新店分隊,中正路695巷,寬度：2米,長度：100米
410,新店區,新店分隊,中興路三段228巷,寬度：前段1.5米，後段4米。,長度：100米
411,新店區,新店分隊,中興路三段247巷,寬度：3米,長度：100米
412,新店區,新店分隊,北新路三段171巷,寬度：3米,長度：80米
413,新店區,新店分隊,文化路80巷,寬度：3米,長度：50米
414,新店區,新店分隊,順安街54巷,寬度：4米,長度：100米
415,新店區,新店分隊,中華路42巷,寬度：5米,長度：200米
416,新店區,新店分隊,中華路54巷,寬度：5米,長度：200米
417,新店區,新店分隊,寶安街2巷,寬度：3米,長度：100米
418,新店區,新店分隊,寶安街4巷,寬度：3米,長度：80米
419,新店區,新店分隊,寶安街16巷,寬度：4米,長度：80米
420,新店區,新店分隊,寶安街58巷後段,寬度：3米,長度：70米
421,新店區,新店分隊,自由街,寬度：5米,長度：300米
422,新店區,新店分隊,民權路42巷,寬度：前段4米，中後段2米,長度：120米
423,新店區,新店分隊,博愛街2巷,寬度：3米,長度：30米
424,新店區,新店分隊,博愛街13巷,寬度：3米,長度：120米
425,新店區,新店分隊,博愛街25巷,寬度：3米,長度：150米
426,新店區,安和分隊,永安街68巷,寬度：5.4米,長度：100米
427,新店區,安和分隊,新和街66巷,寬度：4米,長度：55米
428,新店區,安康分隊,安康路二段205巷,寬度：2米,長度：100米
429,新店區,安康分隊,安康路三段425巷,寬度：2米,長度：100米
430,新店區,安康分隊,安康路二段289巷,3~4米,110米
431,新店區,安康分隊,安康路二段234巷,2.5~3米,150米
432,新店區,安和分隊,新和街31巷,2.7-3m,120m
433,新店區,安和分隊,永安街63巷,2.5-3m,100m
434,新店區,安和分隊,安和路三段175巷,3-3.8m,100m
435,新店區,安和分隊,安康路一段195巷,3米,100米
436,新店區,安和分隊,安康路一段207巷,2.2米,120米
437,新店區,安和分隊,安康路一段263巷,2-3.2米,100米
438,新店區,安和分隊,安康路一段291巷,1.7-2.6m,120m
439,新店區,安和分隊,光華街7巷,1-2.9m,120m
440,樹林區,樹林分隊,福德街,2.5~4不等,300
441,樹林區,樹林分隊,博愛街2巷,2.5,80
442,樹林區,樹林分隊,中山路三段155巷,2.5,80
443,樹林區,樹林分隊,四德街7巷,2,80
444,樹林區,樹潭分隊,工興街14巷,3.1M,110M
445,樹林區,樹潭分隊,中正路632巷,3.3M,80M
446,土城區,清水分隊,永豐路157巷,3.4,300
447,土城區,清水分隊,學府路一段256巷4弄,3.2,100
448,土城區,頂埔分隊,中央路二段192巷,3~4不等,110
449,土城區,頂埔分隊,中央路四段46巷,3公尺,200
450,土城區,頂埔分隊,民安街,3公尺,240
451,土城區,頂埔分隊,德安街,3公尺,300
452,土城區,頂埔分隊,中央路一段318巷19弄,,140
453,三峽區,隆恩分隊,清水街,寬度：3.5m,長度：330m
454,三峽區,隆恩分隊,忠孝街,寬度：3m,長度：100m
