名稱,認證別,地區,性質,認證單位,電話,地址
丹迪旅店-大安森林公園店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-25415788,台北市中山區中山北路一段135巷13號
丹迪旅店-天津店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-25410077,台北市中山區長安東路一段64號
喜瑞飯店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-23148008,台北市中正區懷寧街7號
新驛旅店-台北車站二館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-77327777,台北市大同區長安西路77號
新驛旅店台北車站三館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-77252288,台北市中正區寶慶路63號
新驛旅店-西門捷運店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-25158777,台北市中山區復興北路338號
新驛旅店-復興北路店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-28983838,台北市北投區光明路224號
水美溫泉會館,MFT,臺北市,早餐/住宿,中國回教協會,+886-905972109,台北市中正區博愛路36號3樓
台北109青旅,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-25582255,台北市大同區南京西路163號3樓
賓王大飯店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-27160011,台北市松山區長春路432號
大來商旅- 桃莉廚房,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-81700568,台北市南港區經貿一路168號
台北漢來大飯店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-23933598,台北市中正區杭州南路一段12號
雀客旅館-台北杭州-Rodeo,MFT,臺北市,早餐/住宿,中國回教協會,+886-9936-659-233,台北市中正區忠孝西路一段122號6樓
五月家青旅-北車館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-23885558,台北市萬華區武昌街二段124-2號4樓
艾特文旅-西門町台北,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-25510558,台北市大同區重慶北路一段62號
承攜行旅-台北重慶館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-25923977,台北市中山區農安街36號
同一大飯店,MFT,臺北市,早餐/住宿,中國回教協會,+886+2-25787728,台北市松山區八德路三路76號4樓
