醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
2331100015,新北市淡水區衛生所,一般診所（醫務室）,(02)26215620,新北市淡水區中山路１５８號,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331110011,新北市汐止區衛生所,一般診所（醫務室）,(02)26412030,新北市汐止區新台五路１段２６６號地下１樓．地上１至４樓,臺北業務組,4,門診診療,家醫科,20280422,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19960423
2331120017,新北市瑞芳區衛生所,一般診所（醫務室）,(02)24972132,新北市瑞芳區明燈路３段１號,臺北業務組,4,"安寧居家療護(乙類),門診診療","不分科,牙科",20280430,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331130013,新北市土城區衛生所,專科診所,(02)22603181,新北市土城區和平路２６號１、２樓,臺北業務組,4,門診診療,不分科,20260101,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331140019,新北市蘆洲區衛生所,一般診所（醫務室）,(02)22812011,新北市蘆洲區中央路５８號,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331150015,新北市五股區衛生所,一般診所（醫務室）,(02)22917717,新北市五股區新城三路１１號１樓、２樓及３樓,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331160011,新北市泰山區衛生所,一般診所（醫務室）,(02)22962858,新北市泰山區全興路２１２號３樓,臺北業務組,4,"門診診療,結核病",不分科,20251104,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,清明連假期間（110/04/2-111/04/05）全部停診。,65000,19950301
2331170017,新北市林口區衛生所,一般診所（醫務室）,(02)26068760,新北市林口區忠孝二路５５號,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務",家醫科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331180013,新北市深坑區衛生所,一般診所（醫務室）,(02)26621567,新北市深坑區深坑街１６５號１－３樓,臺北業務組,4,門診診療,"不分科,家醫科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331190019,新北市石碇區衛生所,一般診所（醫務室）,(02)26631325,新北市石碇區潭邊里碇坪路１段８２號,臺北業務組,4,"安寧居家療護(乙類),門診診療,婦女人類乳突病毒檢測服務",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331200010,新北市坪林區衛生所,一般診所（醫務室）,(02)26656272,新北市坪林區坪林街１０４號,臺北業務組,4,"安寧居家療護(乙類),門診診療",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331210016,新北市三芝區衛生所,一般診所（醫務室）,(02)26362007,新北市三芝區中山路１段１２號,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午休診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331220012,新北市石門區衛生所,一般診所（醫務室）,(02)26381007,新北市石門區中山路２８－１號,臺北業務組,4,門診診療,"不分科,兒科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331230018,新北市八里區衛生所,一般診所（醫務室）,(02)26102137,新北市八里區舊城路１６號,臺北業務組,4,門診診療,家醫科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午休診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331240014,新北市平溪區衛生所,一般診所（醫務室）,(02)24951015,新北市平溪區公園街１７號１樓,臺北業務組,4,"安寧居家療護(乙類),門診診療",家醫科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午休診、星期四下午休診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,上午門診在衛生所看診，下午門診在十分衛生室看診。,65000,19950301
2331250010,新北市雙溪區衛生所,一般診所（醫務室）,(02)24931211,新北市雙溪區新基南街１８號,臺北業務組,4,"安寧居家療護(乙類),門診診療","不分科,牙科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331260016,新北市貢寮區衛生所,一般診所（醫務室）,(02)24901431,新北市貢寮區仁愛路１２８號,臺北業務組,4,"安寧居家療護(乙類),門診診療,婦女人類乳突病毒檢測服務",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,65000,19950301
2331270012,新北市金山區衛生所,專科診所,(02)24984807,新北市金山區民生路５９號,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務",家醫科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331280018,新北市萬里區衛生所,專科診所,(02)24921117,新北市萬里區瑪鍊路１５７號１－３樓及地下１樓,臺北業務組,4,"門診診療,結核病",家醫科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331290014,新北市烏來區衛生所,一般診所（醫務室）,(02)26617200,新北市烏來區新烏路５段１０９號,臺北業務組,4,"安寧居家療護(乙類),門診診療,婦女人類乳突病毒檢測服務","不分科,家醫科,外科,牙科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2531090518,國家中山科學研究院醫務所附設光武分診所,一般診所（醫務室）,(02)26712711,新北市三峽區中正路３段１號,臺北業務組,4,,,20220616,,,65000,20041203
2631010021,板橋榮譽國民之家醫務室,一般診所（醫務室）,(02)22755157,新北市板橋區大觀路２段３２號（溫馨樓１樓）,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,星期六，日及國定假日均休診,65000,19950301
2731090012,退除役官兵輔導委員會臺北榮譽國民之家醫務室,一般診所（醫務室）,(02)26731201,新北市三峽區嘉添里白雞路１２９號,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2731220010,台灣電力公司第一核能發電廠員工診所,一般診所（醫務室）,(02)26383501,新北市石門區小坑１２號,臺北業務組,4,門診診療,不分科,20280229,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,連續假期期間均休診,65000,19950301
2731280016,台灣電力股份有限公司第二核能發電廠員工診所,專科診所,(02)24985990,新北市萬里區野柳里八斗６０號,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,本診所無提供急診服務,65000,19950301
3431041096,微星科技股份有限公司附設醫務室,一般診所（醫務室）,(02)32345599,新北市中和區板南路４８８號６樓,臺北業務組,4,門診診療,家醫科,20271012,星期一上午看診、星期二上午休診、星期三上午看診、星期四上午休診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20151013
3431051056,台灣通用器材股份有限公司醫務室,一般診所（醫務室）,(02)29113861,新北市新店區寶橋路２３３號,臺北業務組,4,門診診療,不分科,20280314,星期一上午看診、星期二上午休診、星期三上午看診、星期四上午休診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午休診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20010315
3531010020,曾耳鼻喉科診所,專科診所,(02)29621266,新北市板橋區民族路４３號１樓,臺北業務組,4,門診診療,耳鼻喉科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010137,周耳鼻喉科診所,專科診所,(02)22525158,新北市板橋區文化路２段５號１樓,臺北業務組,4,門診診療,"家醫科,耳鼻喉科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19950301
3531010217,板橋李耳鼻喉科診所,專科診所,(02)29606999,新北市板橋區縣民大道１段１８５號（１樓）,臺北業務組,4,門診診療,耳鼻喉科,20270401,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20120402
3531010226,曾文淵內科家庭醫學科診所,專科診所,(02)29608645,新北市板橋區裕民街５８號,臺北業務組,4,,,20230515,,,65000,19950301
3531010280,王英權皮膚科診所,專科診所,(02)29555232,新北市板橋區民族路１２９巷６號,臺北業務組,4,門診診療,皮膚科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010324,優生婦產科診所,專科診所,(02)29562201,新北市板橋區重慶路３０號１樓２樓８樓,臺北業務組,4,"門診診療,分娩",婦產科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19950301
3531010333,李皮膚科診所,專科診所,(02)29597256,新北市板橋區四川路１段５３、５５號（１樓）,臺北業務組,4,門診診療,皮膚科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010379,雅音眼科診所,專科診所,(02)29527189,新北市板橋區民生路１段６０號,臺北業務組,4,門診診療,眼科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010404,周文通診所,專科診所,(02)22572435,新北市板橋區四維路２９２號,臺北業務組,4,門診診療,"家醫科,兒科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19950301
3531010557,徐內科小兒科診所,專科診所,(02)29684246,新北市板橋區南雅南路１段５巷８號１樓,臺北業務組,4,門診診療,"內科,兒科",20280229,星期一上午看診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010691,春和診所,專科診所,(02)22560068,新北市板橋區長江路１段１３８號,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010744,陳嘉偉診所,一般診所（醫務室）,(02)29555457,新北市板橋區懷仁街９２號１樓,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010833,實踐小兒科內科診所,專科診所,(02)29545765,新北市板橋區實踐路１４９號,臺北業務組,4,,,20240102,,,65000,19950301
3531010879,詹婦產科診所,專科診所,(02)22529326,新北市板橋區文化路２段２號,臺北業務組,4,門診診療,"家醫科,婦產科",20280229,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301
3531010940,張俊明外科婦科診所,專科診所,(02)29669697,新北市板橋區中正路２５１號１、２樓,臺北業務組,4,門診診療,"外科,婦產科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,2/7至2/10休診,65000,19950301
3531011018,柯明奇耳鼻喉科診所,專科診所,(02)29622255,新北市板橋區中山路２段２５６號,臺北業務組,4,門診診療,耳鼻喉科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上休診、星期五晚上看診、星期六晚上休診、星期日晚上休診,1／1元旦只有早診，1／28（除夕）~2／2（初五）休六天,65000,19950301
