醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
1531010082,板新醫院,醫院,(02)29609955,新北市板橋區中正路１８９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析","內科,外科,神經科,復健科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301
1531010108,蕭中正醫院,醫院,(02)29685661,新北市板橋區南雅南路１段１５－１，１７，１９號,臺北業務組,3,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,血液透析,分娩,腹膜透析業務","家醫科,內科,婦產科,泌尿科,復健科",20250820,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19980821
1531010279,板橋中興醫院,綜合醫院,(02)29590707,新北市板橋區忠孝路１５號、新北市土城區中華路１段３２號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,胸部低劑量電腦斷層檢查","家醫科,內科,外科,骨科,泌尿科,神經科,放射線科,放射腫瘤科",20280315,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19990316
1531011310,板橋國泰醫院,醫院,(02)29583333,新北市板橋區忠孝路５，７，９，１１號１－３樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,急診業務,門診診療,住院診療","家醫科,內科,兒科,復健科",20260114,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午休診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20000115
1531020122,宏仁醫院,醫院,(02)29788877,新北市三重區水漾路１段１５８號,臺北業務組,3,,,20240801,,,65000,19970630
1531021165,三重中興醫院,醫院,(02)29959680,新北市三重區中興北街２１號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療","內科,外科,神經科,復健科,職業醫學科",20250827,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20030828
1531021174,祐民醫院,醫院,(02)29783456,新北市三重區重新路２段２、６號，地下１層至地上９層,臺北業務組,3,,,20231215,,,65000,20060401
1531021183,全民醫院,醫院,(02)22821575,新北市三重區三和路４段１０３之２號１樓、２樓、３樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,外科,泌尿科,復健科",20260806,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,114／1／1晚上休診,65000,20230807
1531021192,宏仁醫院,醫院,(02)29788877,新北市三重區水漾路１段１５８號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查,腹膜透析業務","家醫科,內科,外科,骨科,泌尿科,復健科,職業醫學科,急診醫學科,麻醉科,放射診斷科",20270731,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20240801
1531031278,永和復康醫院,醫院,(02)29240925,新北市永和區中和路５７５、５７７、５７９號１至４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","內科,復健科",20271105,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20151106
1531040259,中祥醫院,醫院,(02)22405055,新北市中和區中山路二段３５９巷２號、４號、６號,臺北業務組,3,"門診診療,住院診療,血液透析","家醫科,內科,外科",20250901,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上看診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19960902
1531041363,蕙生醫院,醫院,(02)22236339,新北市中和區中山路２段５５１號地下１樓至地上１至６樓,臺北業務組,3,"門診診療,婦女人類乳突病毒檢測服務,住院診療,分娩","兒科,婦產科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20050301
1531041390,怡和醫院,醫院,(02)22450009,新北市中和區連城路４９號１至４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,泌尿科,復健科",20250901,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20130902
1531041407,祥顥醫院,醫院,(02)29468795,新北市中和區景平路４１２、４１２之１號１至５樓,臺北業務組,3,,,20220615,,,65000,20151224
1531050077,同仁醫院,醫院,(02)29170201,新北市新店區民權路８９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,血液透析","內科,外科,復健科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
1531050086,宏慈療養院,精神科醫院,(02)22151177,新北市新店區安泰路１５７號１、２樓,臺北業務組,3,"門診診療,住院診療,精神病患者居家照護",精神科,20251102,星期一上午看診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19971103
1531051163,豐榮醫院,醫院,(02)22122111,新北市新店區安德街２６巷３號B棟,臺北業務組,3,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查","內科,外科,骨科,復健科,麻醉科,放射診斷科",20270412,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20180413
1531051172,新北仁康醫院,醫院,(02)22152345,新北市新店區安康路２段３２３號地上１至２樓B棟,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,門診診療,住院診療","內科,外科,骨科,神經科,復健科",20270805,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20180806
1531060046,大順醫院,慢性醫院,(02)29911726,新北市新莊區中正路２１５號１－４樓,臺北業務組,3,"門診診療,分娩","內科,外科,婦產科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
1531060073,新莊英仁醫院,醫院,(02)29916363,新北市新莊區大觀街４６－２號,臺北業務組,3,"門診診療,住院診療","不分科,內科,外科,婦產科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19950301
1531060180,新泰綜合醫院,綜合醫院,(02)29962121,新北市新莊區新樹路１７６號,臺北業務組,3,,,20220301,,,65000,19960711
1531061230,益民醫院,醫院,(02)89911050,新北市新莊區中港路１２７號１－４樓,臺北業務組,3,"門診診療,住院診療",內科,20280630,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,1140125-1140202休診,65000,20100701
1531061249,新泰綜合醫院,醫院,(02)29962121,新北市新莊區新樹路１７６號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,結核病","內科,外科,兒科,婦產科,骨科,泌尿科,眼科,神經科,復健科,職業醫學科,急診醫學科,麻醉科,放射診斷科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,65000,20220301
1531061258,祥顥醫院,醫院,(02)22798898,新北市新莊區思源路２號１、４、５、６、７樓,臺北業務組,3,"門診診療,住院診療","內科,兒科",20280614,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20220615
1531071030,仁愛醫院,綜合醫院,(02)26834567,新北市樹林區文化街９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查","家醫科,內科,外科,骨科,泌尿科,神經科,復健科,急診醫學科,麻醉科,放射線科",20250806,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,急診24小時服務,65000,20000807
1531091149,清福醫院,醫院,(02)26739288,新北市三峽區介壽路１段２８６號２樓,臺北業務組,3,"門診診療,住院診療,血液透析","家醫科,內科,婦產科",20270131,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,20210201
1531100027,公祥醫院,醫院,(02)26217638,新北市淡水區英專路２１巷２５、２７號、中山路３８、４０號,臺北業務組,3,,,20220301,,,65000,19950301
1531101113,泓安醫院,精神科醫院,(02)26232681,新北市淡水區下圭柔山９１巷２號１－４樓地下１樓,臺北業務組,3,,,20250516,星期一上午休診、星期二上午看診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20030415
1531120038,瑞芳礦工醫院,醫院,(02)24974101,新北市瑞芳區一坑路７１之２號,臺北業務組,3,"復健－物理治療業務,急診業務,門診診療,住院診療,血液透析","內科,外科,骨科",20250731,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20100801
1531130052,廣川醫院,醫院,(02)22617000,新北市土城區裕民路２７４、２７６、２７８號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,外科,骨科,泌尿科,復健科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,65000,19950301
1531130105,仁安醫院,醫院,(02)22627088,新北市土城區中央路１段６２．６４號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療","家醫科,內科,外科,復健科",20280420,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19990421
1531131139,元復醫院,醫院,(02)22661886,新北市土城區中央路２段３１８－３２４號１－４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,門診診療,住院診療","家醫科,內科,骨科,復健科",20260107,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20070108
1531131157,恩樺醫院,醫院,(02)22639955,新北市土城區中央路１段７－１８號地下１樓、１樓、２樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析","內科,兒科,復健科",20251031,星期一上午看診、星期二上午看診、星期三上午休診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20161101
1531140058,全民醫院,醫院,(02)22821575,新北市蘆洲區三民路５、７、９號（１）樓,臺北業務組,3,,,20230807,,,65000,20191101
1531210019,台安醫院,精神科醫院,(02)26371600,新北市三芝區楓子林路４２－５號,臺北業務組,3,"門診診療,住院診療",精神科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
